site,site_type
mu,Advanced CarbonAction Site
ik,Advanced CarbonAction Site
mi,Advanced CarbonAction Site
pa,Advanced CarbonAction Site
si,Advanced CarbonAction Site
li,Advanced CarbonAction Site
ki,Advanced CarbonAction Site
ja,Advanced CarbonAction Site
ai,Advanced CarbonAction Site
pi,Advanced CarbonAction Site
mo,Advanced CarbonAction Site
pu,Advanced CarbonAction Site
ko,Advanced CarbonAction Site
ni,Advanced CarbonAction Site
jn,Advanced CarbonAction Site
kp,Advanced CarbonAction Site
la,Advanced CarbonAction Site
na,Advanced CarbonAction Site
ae,Advanced CarbonAction Site
ne,Advanced CarbonAction Site
qvidja,Intensive Site
ruukki,Intensive Site
