category,code_name,disp_name_eng,disp_name_fin
activity_choice,planting,planting,fin1
activity_choice,fertilizer,fertilizer application,fin2
activity_choice,irrigation,irrigation application,fin3
activity_choice,tillage,tillage application,fin4
activity_choice,organic_material,organic material application,fin5
activity_choice,harvest,harvest,fin6
activity_choice,bed_prep,raised bed preparation,fin7
activity_choice,inorg_mulch,placement of inorganic mulch,fin8
activity_choice,Inorg_mul_rem,removal of inorganic mulch,fin9
activity_choice,chemicals,chemicals application,fin10
activity_choice,mowing,mowing,fin11
activity_choice,observation,observation,fin12
activity_choice,weeding,mechanical extraction of weeds,fin13
activity_choice,puddling,paddy system preparation (puddling),fin14
activity_choice,flood_level,paddy system flood level control,fin15
activity_choice,other,other,fin16
table_col_name,mgmt_operations_event,Event,fin17
table_col_name,mgmt_event_date,Date,fin18
table_col_name,mgmt_event_notes,Notes,fin19
element_label,window_title,Input Management Data,Syötä tapahtumia
element_label,site_label,Select the site:,Valitse sijainti:
element_label,block_label,Select the block:,Valitse lohko:
element_label,activity_label,Select the activity:,Valitse tapahtuma:
element_label,planting_option_1_label,Did you do x?,Teitkö x:n?
element_label,planting_option_11_label,Further choices:,Lisää valintoja:
element_label,plant_species_label,Choose the species:,Valitse laji:
element_label,date_label,Select the date when the activity was performed:,Valitse päivä jolloin tapahtuma tapahtui:
element_label,notes_label,Notes (optional):,Muistiinpanot (vapaaehtoinen):
element_label,notes_placeholder,Placeholder,Aputeksti
element_label,save_label,Save,Tallenna
planting_option_11_choice,alt1,Alternative 1,Vaihtoehto 1
planting_option_11_choice,alt2,Alternative 2,Vaihtoehto 2
plant_species_choice,spc_barley,barley,kaura
plant_species_choice,spc_wheat,wheat,vehnä
plant_species_choice,spc_rye,rye,ruis

