site,site_type,blocks
mu,Advanced CarbonAction Site,[0;1]
IK,Advanced CarbonAction Site,[0;1]
MI,Advanced CarbonAction Site,[0;1]
PA,Advanced CarbonAction Site,[0;1]
SI,Advanced CarbonAction Site,[0;1]
LI,Advanced CarbonAction Site,[0;1]
ki,Advanced CarbonAction Site,[0;1]
JA,Advanced CarbonAction Site,[0;1]
ai,Advanced CarbonAction Site,[0;1]
PI,Advanced CarbonAction Site,[0;1]
MO,Advanced CarbonAction Site,[0;1]
PU,Advanced CarbonAction Site,[0;1]
KO,Advanced CarbonAction Site,[0;1]
NI,Advanced CarbonAction Site,[0;1]
JN,Advanced CarbonAction Site,[0;1]
KP,Advanced CarbonAction Site,[0;1]
la,Advanced CarbonAction Site,[0;1]
na,Advanced CarbonAction Site,[0;1]
ae,Advanced CarbonAction Site,[0;1]
NE,Advanced CarbonAction Site,[0;1]
qvidja,Intensive Site,[ec;ca6cm;ca15cm]
ruukki,Intensive Site,[block1;block2;block3;block4;block5;block6;5up;6up]
haltiala,Intensive Site,[ec]
Hovi,Valio Carbo Farm 1,[Keskipelto;Kotipelto 2-A;Koivikko 1;Suopelto 2;Pitkäniemi 1-A]
Hovi_YARA,Valio Carbo Farm 1,[Keskipelto;Kotipelto 2-A;Koivikko 1;Suopelto 2;Pitkäniemi 1-A]
Koskimäki, Valio Carbo Farm 2,[Kotopakka;Kivimäki]
Koskimäki_YARA, Valio Carbo Farm 2,[Kotopakka;Kivimäki]
Saarela, Valio Carbo Farm 3,[Päiväniemi;Koivistonranta;Pilvineva;Polsonneva;Kytömaa]
Saarela_YARA, Valio Carbo Farm 3,[Päiväniemi;Koivistonranta;Pilvineva;Polsonneva;Kytömaa]
Keskitalo, Valio Carbo Farm 4,[Alapelto B;Alapelto C]
Keskitalo_YARA, Valio Carbo Farm 4,[Alapelto B;Alapelto C]
Valio_example,Valio Carbo Farm,[block1;BarleyField;GrazingExperiment;1;2;A;B]
CA-HV002,Advanced CarbonAction Site,[0;1]
CA-HV006,Advanced CarbonAction Site,[0;1]
CA-HV007,Advanced CarbonAction Site,[0;1]
CA-HV009,Advanced CarbonAction Site,[0;1]
CA-HV012,Advanced CarbonAction Site,[0;1]
CA-HV013,Advanced CarbonAction Site,[0;1]
CA-HV014,Advanced CarbonAction Site,[0;1]
CA-HV015,Advanced CarbonAction Site,[0;1]
CA-HV016,Advanced CarbonAction Site,[0;1]
CA-HV017,Advanced CarbonAction Site,[0;1]
CA-HV018,Advanced CarbonAction Site,[0;1]
CA-HV020,Advanced CarbonAction Site,[0;1]
CA-HV021,Advanced CarbonAction Site,[0;1]
CA-HV024,Advanced CarbonAction Site,[0;1]
CA-HV026,Advanced CarbonAction Site,[0;1]
CA-HV027,Advanced CarbonAction Site,[0;1]
CA-HV028,Advanced CarbonAction Site,[0;1]
CA-HV029,Advanced CarbonAction Site,[0;1]
CA-HV030,Advanced CarbonAction Site,[0;1]
CA-HV031,Advanced CarbonAction Site,[0;1]
CA-HV032,Advanced CarbonAction Site,[0;1]
CA-HV033,Advanced CarbonAction Site,[0;1]
CA-HV034,Advanced CarbonAction Site,[0;1]
CA-HV038,Advanced CarbonAction Site,[0;1]
CA-HV041,Advanced CarbonAction Site,[0;1]
CA-HV043,Advanced CarbonAction Site,[0;1]
CA-HV045,Advanced CarbonAction Site,[0;1]
CA-HV046,Advanced CarbonAction Site,[0;1]
CA-HV049,Advanced CarbonAction Site,[0;1]
CA-HV054,Advanced CarbonAction Site,[0;1]
CA-HV055,Advanced CarbonAction Site,[0;1]
CA-HV056,Advanced CarbonAction Site,[0;1]
CA-HV057,Advanced CarbonAction Site,[0;1]
CA-HV058,Advanced CarbonAction Site,[0;1]
CA-HV060,Advanced CarbonAction Site,[0;1]
CA-HV061,Advanced CarbonAction Site,[0;1]
CA-HV062,Advanced CarbonAction Site,[0;1]
CA-HV063,Advanced CarbonAction Site,[0;1]
CA-HV064,Advanced CarbonAction Site,[0;1]
CA-HV066,Advanced CarbonAction Site,[0;1]
CA-HV067,Advanced CarbonAction Site,[0;1]
CA-HV070,Advanced CarbonAction Site,[0;1]
CA-HV071,Advanced CarbonAction Site,[0;1]
CA-HV072,Advanced CarbonAction Site,[0;1]
CA-HV074,Advanced CarbonAction Site,[0;1]
CA-HV075,Advanced CarbonAction Site,[0;1]
CA-HV077,Advanced CarbonAction Site,[0;1]
CA-HV079,Advanced CarbonAction Site,[0;1]
CA-HV081,Advanced CarbonAction Site,[0;1]
CA-HV085,Advanced CarbonAction Site,[0;1]
CA-HV086,Advanced CarbonAction Site,[0;1]
CA-HV087,Advanced CarbonAction Site,[0;1]
CA-HV088,Advanced CarbonAction Site,[0;1]
CA-HV089,Advanced CarbonAction Site,[0;1]
CA-HV090,Advanced CarbonAction Site,[0;1]
CA-HV091,Advanced CarbonAction Site,[0;1]
CA-HV093,Advanced CarbonAction Site,[0;1]
CA-HV095,Advanced CarbonAction Site,[0;1]
CA-HV097,Advanced CarbonAction Site,[0;1]
CA-HV098,Advanced CarbonAction Site,[0;1]
CA-HV101,Advanced CarbonAction Site,[0;1]
CA-HV103,Advanced CarbonAction Site,[0;1]
CA-HV104,Advanced CarbonAction Site,[0;1]
CA-HV106,Advanced CarbonAction Site,[0;1]
