category,code_name,disp_name_eng,disp_name_fin
mgmt_operations_event_choice,planting,sowing,kylvö
mgmt_operations_event_choice,fertilizer,fertilizer application,lannoitteen levitys
mgmt_operations_event_choice,tillage,tillage,maanmuokkaus
mgmt_operations_event_choice,harvest,harvest,sadonkorjuu
mgmt_operations_event_choice,chemicals,chemicals application,kemikaalin levitys
mgmt_operations_event_choice,grazing,grazing,laidunnus # not ICASA
mgmt_operations_event_choice,weeding,mechanical extraction of weeds,rikkaruohojen kitkeminen
mgmt_operations_event_choice,irrigation,irrigation,kastelu
mgmt_operations_event_choice,mowing,mowing,niitto
mgmt_operations_event_choice,observation,observation,havainto
mgmt_operations_event_choice,bed_prep,raised bed preparation,kasvatuslaatikoiden valmistelu
mgmt_operations_event_choice,inorg_mulch,placement of mulch,katteen levitys
mgmt_operations_event_choice,Inorg_mul_rem,removal of mulch,katteen poisto
#   mgmt_operations_event_choice,organic_material,organic material application,eloperäisen aineen levitys
mgmt_operations_event_choice,other,other,muu
#
# the following are the “all” choices for frontpage table filters
#
activity_choice,activity_choice_all,all,kaikki
block_choice,block_choice_all,all,kaikki
year_choice,year_choice_all,all,kaikki
#
# variable names (these show up in tables)
#
variable_name,block,Block,Lohko
variable_name,mgmt_operations_event,Event,Tapahtuma
variable_name,date,Date,Päivä
variable_name,mgmt_event_notes,Description,Kuvaus
variable_name,planted_crop,Planted crop,Kylvetty laji
variable_name,planting_material_weight,Weight of seeds (kg/ha), Siementen määrä (kg/ha)
variable_name,planting_depth,Sowing depth (mm),Kylvösyvyys (mm)
variable_name,planting_material_source,Source of seeds,Siementen alkuperä
variable_name,planting_notes,Sowing notes,Kylvömuistiinpanoja
variable_name,harvest_area,Harvest area (ha),Pinta-ala (ha)
variable_name,harvest_yield_harvest_dw_total,"Yield, total dry weight (kg/ha)","Sato, kuivapaino yhteensä (kg/ha)" # not in ICASA
variable_name,harv_yield_harv_f_wt_total,"Yield, total fresh weight (t/ha)","Sato, märkäpaino yhteensä (t/ha)" # not in ICASA
variable_name,yield_C_at_harvest_total,"Carbon (C) in yield, total (kg/ha)",Hiilen (C) määrä sadossa yhteensä (kg/ha) # not in ICASA
variable_name,harvest_crop,Harvest crop,Korjattu laji
variable_name,harvest_operat_component,Crop component harvested,Kerätty kasvinosa
variable_name,canopy_height_harvest,Canopy height (m),Kasvuston korkeus (m)
variable_name,harvest_yield_harvest_dw,"Yield, dry weight (kg/ha)","Sato, kuivapaino (kg/ha)"
variable_name,harv_yield_harv_f_wt,"Yield, fresh weight (t/ha)","Sato, märkäpaino (t/ha)"
variable_name,yield_C_at_harvest,Carbon (C) in yield (kg/ha),Hiilen (C) määrä sadossa (kg/ha) # not in ICASA
variable_name,harvest_moisture,Yield moisture (%),Sadon kosteus (%)
variable_name,harvest_method,Harvest method,Korjuutapa
variable_name,harvest_cut_height,Height of cut (cm),Leikkuukorkeus (cm)
variable_name,plant_density_harvest,Plant density at harvest (plants/m2),Kasvitiheys korjuuhetkellä (kasveja/m2)
variable_name,harvest_residue_placement,Harvest residue placement,Korjuutähteiden sijoituspaikka
variable_name,harvest_comments,Harvest comments,Sadonkorjuukommentit
#   variable_name,org_material_applic_meth,Organic material application method,Eloperäisen aineen levitystapa
#   variable_name,org_material_appl_depth,Organic material application depth (cm),Eloperäisen aineen levityssyvyys (cm)
#   variable_name,org_material_notes,Notes,Muistiinpanot
variable_name,tillage_practice,Tillage type,Muokkaustyyppi # possibly not the same meaning in ICASA
variable_name,tillage_implement,Tillage implement,Muokkausväline
variable_name,tillage_operations_depth,Tillage depth (cm),Muokkaussyvyys (cm)
variable_name,tillage_treatment_notes,Tillage notes,Muistiinpanot muokkauksesta
variable_name,fertilizer_type,Fertilizer type,Lannoitteen tyyppi
variable_name,organic_material,Organic material,Eloperäinen aine
#  variable_name,fert_animal,Fertilizer animal,Lannoite eläin
variable_name,animal_fert_usage,Fert animal,Lannoite e
